"GearType","MarineMammalMortality"
"Gillnets and entangling nets (not specified), (Demersal)",5380.5
"Set gillnets/set nets (anchored), (Bottom)",3836.2
"Midwater trawls (not specified), (Demersal)",237.8
"Gillnets and entangling nets (not specified), (Pelagic)",220
"Trawls (not specified), (Demersal)",213
"Purse seines, (Surface)",159
"Gillnets and entangling nets (not specified), (Bottom)",40
"Trawls (not specified), (Bottom)",31.4
"Purse seines, (Pelagic)",29.13
"Bottom trawls (not specified), (Bottom), Midwater trawls (not specified), (Midwater)",27.6
"Bottom trawls (not specified), (Bottom)",20.3
"Otter trawls (not specified), (Bottom)",18.4
"Gillnets and entangling nets (not specified), (Bottom), Longlines (not specified), (Bottom)",1
"Longlines (not specified), (Bottom)",1
"Midwater trawls (not specified), (Pelagic)",1
"Longlines (not specified), (Pelagic)",0.7
"Gillnets and entangling nets (not specified), (Midwater)",0.2
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom), Trawls (not specified), (Bottom)",0.2
"Set gillnets/set nets (anchored), (Pelagic)",0.2
